root_id,length_nm,area_nm,size_nm
720575940603874494,1027103,1719699200,117615800320
720575940603874784,4946013,8689985152,612788961280
720575940603875616,614483,1067935360,71372328960
720575940603877408,937628,1882972160,127772538880
720575940603882174,1190662,3359756288,218069719040
720575940603882720,691576,1441874816,125217710080
720575940603883232,718688,1451566592,107785564160
720575940603884512,641626,1555626240,125145630720
720575940603885856,1439990,2856040192,248571340800
720575940603886880,2222012,3432931072,201159464960
720575940603889086,1226144,1997073536,134263756800
720575940603891936,688115,1228108032,72104273920
720575940603893216,1532365,2335560192,136342353920
720575940603893280,512739,1029270912,85278668800
720575940603895584,944362,2698978432,226941419520
720575940603896748,818448,1415162880,105293219840
720575940603899936,1688654,3301399424,278874869760
720575940603903264,1769005,3920079360,379210127360
720575940603904496,461968,744780288,51371294720
720575940603905312,1602488,3014474368,185899448320
720575940603909804,1792064,2627152256,145453332480
720575940603911340,475491,1238671872,80969820160
720575940603915436,569241,872893696,55610664960
720575940603917158,889610,1595395456,96327208960
720575940603917228,837692,1638360064,126087034880
720575940603918769,1478538,2831342080,221468190720
720575940603919537,827719,1948550400,145821706240
720575940603923116,459516,1158259456,99450429440
720575940603924512,1712950,3561844736,244086784000
720575940603925280,837688,1250962432,61042780160
720575940603926188,1070075,1949420672,130957434880
720575940603930046,3419504,6136916992,442572943360
720575940603932448,2562627,4757492480,339389470720
720575940603932640,585485,1009682944,56367513600
720575940603934892,563768,890633984,65911552000
720575940603935334,319262,754907520,60770150400
720575940603938238,1428421,2121036160,124520335360
720575940603940012,223809,400339712,32923688960
720575940603942334,1548544,2504716160,146672199680
720575940603942828,1885498,3357755648,214457006080
720575940603942846,393683,653778816,39141806080
720575940603942944,376872,642240896,45209354240
720575940603943456,541360,787914368,39992268800
720575940603943648,1373787,2511627776,172796682240
720575940603944382,1148344,2338995712,164264099840
720575940603944672,987832,2192168448,136618147840
720575940603948716,317097,480463744,31267532800
720575940603948832,1159605,1775355520,108173445120
720575940603949024,859241,1651284608,100263024640
720575940603951806,1855014,3142226048,212670883840
720575940603952608,4978854,7314285568,397266851840
720575940603956838,1411326,2228154880,130351052800
720575940603957694,1354324,2133001856,147586846720
720575940603962214,998772,2015548800,148656875520
720575940603964774,1275766,3886381056,300742584320
720575940603974880,796091,1206413312,78384691200
720575940603975392,2109549,2640192768,109712517120
720575940603976672,2682571,4783377024,341581701120
720575940603977062,1160274,1905511168,118445168640
720575940603979488,1645044,2755682944,184945889280
720575940603980256,1788380,5000699008,338109327360
720575940603981536,3090686,4963604608,287266007040
720575940603984486,796067,1543859712,90013091840
720575940603985952,2711634,8712470400,846851256320
720575940603987390,262234,755468160,79256750080
720575940603988838,661234,1289460864,79073075200
720575940603989420,1469573,2826857344,185015296000
720575940603996081,1786911,3233870720,211973314560
720575940604007392,848193,1134545152,65247528960
720575940604008160,1275619,2308993920,183173836800
720575940604008672,877939,1739893632,130739937280
720575940604009062,602330,1593711104,122032793600
720575940604009952,4907896,9528880000,739631063040
720575940604010412,1000331,1588653440,89621084160
720575940604012134,842366,1245080832,74409359360
720575940604013926,670748,1060694656,70253219840
